swc_id,x,y,z,source_region,source_region_withCorticalRegion
SEU-ALLEN_local_201585_15238_24724_10926_CCFv3.swc,13158.425,2765.9,6633.6,FOTU,FOTU
SEU-ALLEN_local_201585_15241_22389_9328_CCFv3.swc,10850.15,3276.125,5663.75,CENT,CENT2
SEU-ALLEN_local_201585_15241_22830_10568_CCFv3.swc,12542.176,2959.025,5727.4,FOTU,FOTU
SEU-ALLEN_local_201585_15242_22145_10810_CCFv3.swc,12874.001,2877.2,5353.3,FOTU,FOTU
SEU-ALLEN_local_201585_15243_16539_9425_CCFv3.swc,10739.824,3495.225,3052.3,SIM,SIM
SEU-ALLEN_local_201585_15243_16999_9369_CCFv3.swc,10682.775,3478.575,3278.5,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15244_22114_10017_CCFv3.swc,11748.475,3184.025,5464.7,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15245_23094_9595_CCFv3.swc,11215.45,3239.925,5949.175,CENT,CENT3
SEU-ALLEN_local_201585_15246_21119_10790_CCFv3.swc,12850.775,2926.5,4855.025,FOTU,FOTU
SEU-ALLEN_local_201585_15246_21277_9332_CCFv3.swc,10818.25,3303.4,5175.1,CENT,CENT2
SEU-ALLEN_local_201585_15248_23896_10330_CCFv3.swc,12255.325,3027.975,6261.825,DEC,DEC
SEU-ALLEN_local_201585_15248_25279_10320_CCFv3.swc,12331.75,2991.55,6916.775,fiber tracts,arb
SEU-ALLEN_local_201585_15249_24692_9631_CCFv3.swc,11318.55,3196.875,6664.525,CENT,CENT3
SEU-ALLEN_local_201585_15250_24208_10755_CCFv3.swc,12877.8,2849.275,6390.725,FOTU,FOTU
SEU-ALLEN_local_201585_15251_17675_9298_CCFv3.swc,10618.3,3458.15,3598.95,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15254_27657_8998_CCFv3.swc,10537.575,3204.25,8044.525,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15255_23679_10354_CCFv3.swc,12277.525,3028.9,6157.175,DEC,DEC
SEU-ALLEN_local_201585_15256_22938_9253_CCFv3.swc,10769.149,3280.25,5915.775,CENT,CENT2
SEU-ALLEN_local_201585_15257_28341_9010_CCFv3.swc,10570.05,3188.85,8369.325,SIM,SIM
SEU-ALLEN_local_201585_15258_28821_9085_CCFv3.swc,10691.851,3166.35,8604.175,SIM,SIM
SEU-ALLEN_local_201585_15260_15107_9988_CCFv3.swc,11515.525,3411.175,2195.15,AN,ANcr2
SEU-ALLEN_local_201585_15260_17843_10399_CCFv3.swc,12226.6,3240.45,3430.375,AN,ANcr2
SEU-ALLEN_local_201585_15261_23984_10495_CCFv3.swc,12494.45,2967.475,6295.7,FOTU,FOTU
SEU-ALLEN_local_201585_15261_24068_10468_CCFv3.swc,12461.399,2976.125,6337.65,fiber tracts,arb
SEU-ALLEN_local_201585_15262_16648_9316_CCFv3.swc,10597.05,3503.75,3123.85,SIM,SIM
SEU-ALLEN_local_201585_15263_20551_9293_CCFv3.swc,10739.3,3336.4,4863.6,CENT,CENT2
SEU-ALLEN_local_201585_15263_24559_9397_CCFv3.swc,11004.525,3239.35,6622.625,CENT,CENT2
SEU-ALLEN_local_201585_15263_26927_9579_CCFv3.swc,11348.426,3133.05,7669.95,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15264_24361_10010_CCFv3.swc,11827.8,3130.1,6494.425,fiber tracts,arb
SEU-ALLEN_local_201585_15265_25061_10220_CCFv3.swc,12170.726,3042.025,6814.1,DEC,DEC
SEU-ALLEN_local_201585_15265_25857_10038_CCFv3.swc,11956.55,3072.3,7177.275,SIM,SIM
